preferredLabel	conceptUri	skillType	altLabels	hiddenLabels	description
overføre eksisterende data	http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377	skill/competence			At anvende migrations- og omregningsmetoder for eksisterende data med henblik på at overføre eller konvertere data mellem formater, lagre eller computersystemer.
administrere forsyninger	http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99	skill/competence			Overvåge og kontrollere strømmen af forsyninger, der omfatter køb, oplagring og transport af den nødvendige kvalitet af råvarerne samt lageropgørelser af igangværende arbejde. Administrere forsyningskædens aktiviteter og synkronisere udbuddet med produktionsefterspørgsel og kunde.
menneskelige faktorer i forbindelse med sikkerhed	http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6	knowledge			Overvejelser og konsekvenser for menneskers sikkerhed.
udføre tagvedligeholdelse	http://data.europa.eu/esco/skill/021cf226-3dac-4712-9738-24bf0952c064	skill/competence			Inspicere taget eller facadebeklædningen med henblik på at vurdere deres generelle tilstand og identificere eventuelle skader, anbefale og udføre vedligeholdelse og reparation, f.eks. udbedring af ødelagte singels, udskiftning af inddækning, rydde murbrokker og sikre afløbsrender.
pulpmølletyper	http://data.europa.eu/esco/skill/0227a4f4-f979-4e5a-bd11-93744f339246	knowledge			Dette omfatter de stationære og roterende dampkogere, som tilbereder træflis i en syreopløsning til fremstilling af papirmasse til brug ved fremstilling af papir.
definere en databases fysiske struktur	http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad	skill/competence	"fastlægge en databases fysiske struktur
bestemme en databases fysiske opbygning
definere en databases fysiske lagringsstruktur
definere den fysiske struktur af en database
bestemme en databases fysiske struktur"		Angive den fysiske konfiguration af databasefiler for et bestemt medie. Dette indebærer detaljerede specifikationer for indekseringsløsninger, datatyper og dataelementer, der er placeret i dataordbogen.
lægge sten	http://data.europa.eu/esco/skill/0232e2ee-5535-46e0-9c64-ea80c896c62f	skill/competence			Lægge stenblokke eller brosten, som på forhånd er blevet beskåret til den rette størrelse og tykkelse, med henblik på at bygge stenmure og -trapper, lave fortove eller indsætte dør- og vinduesrammer.
samle udstyr til cirkusrigning	http://data.europa.eu/esco/skill/0234bf2c-0483-4953-be59-edc2fcdd9e4b	skill/competence			Samle og montere udstyr til cirkusrigning, som er baseret på instruktion eller teknisk bestemmelse eller beskrivelse.
diagnosticere mundsundhed	http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b	skill/competence			Forespørge om den mundtlige hygiejne, foretage en undersøgelse, foretage billedbehandlingsundersøgelser og fortolke resultaterne med henblik på at stille en diagnose.
geomatik	http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f	knowledge			Den videnskabelige disciplin, der vedrører indsamling, opbevaring og behandling af geografiske oplysninger.
bestemmelser om eksponering for kontamination	http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c	knowledge	forskrifter om forureningseksponering		Bestemmelser om eksponering for kontaminerede materialer eller et farligt miljø, der regulerer foranstaltninger i forbindelse med risikovurdering, minimering af yderligere eksponering, karantæne og behandling af udsatte personer.
Maltego	http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a	knowledge			Platformen Maltego er en kriminalteknisk applikation, der bruger datamining til at give et overblik over organisationers miljø, teste sikkerhedssvagheder ved systemet for potentielt uautoriseret adgang og demonstrere infrastrukturnedbruds kompleksitet.
søge efter historiske kilder i arkiver	http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8	skill/competence			Søge i arkiver med henblik på at finde de kilder, der er nødvendige for historisk forskning.
overvåge slagsmål mellem optrædende	http://data.europa.eu/esco/skill/024910a2-1ee8-4f07-bac6-33b577d9392e	skill/competence			Informere om forventninger og målrettede resultater, transmittere slagsmålssekvensen og det tekniske aspekt af slagsmålsdisciplinen osv. Hjælpe de udøvende kunstnere/dansere med at internalisere slagsmålssekvenserne og slagsmålsteknikkerne. Vejlede dem i praksis og motivere og hjælpe dem med at nå deres maksimale potentiale. Gøre dem opmærksomme på de forbundne risici. Få udøvende kunstnere til at øve slagsmål.
udvikle scriptbog	http://data.europa.eu/esco/skill/0253b09a-7217-43fc-b62f-e6b23ffebac9	skill/competence			Oprette et dokument, som kaldes manuskriptet eller drejebogen, med alle oplysninger om rollerne og rammen for historien.
betjene radioudstyr	http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe	skill/competence			Opsætte og betjene radioenheder og tilbehør som f.eks. udsendelseskonsoller, forstærkere og mikrofoner. Forstå radiooperatørens sprog og, når det er nødvendigt, give instruktion i korrekt håndtering af radioudstyr.
fjerne kontaminerede materialer	http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d	skill/competence			Fjerne materialer og udstyr, som er forurenet med farlige stoffer, for at beskytte omgivelserne mod yderligere forurening og behandle eller bortskaffe det kontaminerede materiale.
